R2_BAT,116.96,46.72,90.00,2k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,68.08,8.63,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,68.67,12.02,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,30.97,47.89,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,45.68,33.91,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,48.78,33.93,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,47.18,33.95,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,71.28,26.07,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,64.00,108.43,180.00,,MYBUTTON
R_BOOT,20.52,108.16,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,86.84,65.38,0.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,45.40,108.24,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,72.86,26.11,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,60.40,108.16,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,157.93,14.25,90.00,BME688,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,65.56,8.68,0.00,,ESP32_WROVER_EAGLE-LTSPICE_R0402
TP1,10.72,69.50,0.00,TPTP20R,TP20R
TP10,56.66,17.20,0.00,TPTP20R,TP20R
TP11,48.51,3.00,0.00,TPTP20R,TP20R
TP12,53.61,3.00,0.00,TPTP20R,TP20R
TP13,71.96,34.30,0.00,TPTP20R,TP20R
TP14,160.41,42.90,0.00,TPTP20R,TP20R
TP15,102.66,60.80,0.00,TPTP20R,TP20R
TP16,120.71,19.40,0.00,TPTP20R,TP20R
TP17,58.66,3.10,0.00,TPTP20R,TP20R
TP2,13.15,69.50,0.00,TPTP20R,TP20R
TP3,130.47,63.60,0.00,TPTP20R,TP20R
TP4,77.09,107.60,0.00,TPTP20R,TP20R
TP5,82.39,107.58,0.00,TPTP20R,TP20R
TP6,47.11,22.78,0.00,TPTP20R,TP20R
TP7,36.03,2.98,0.00,TPTP20R,TP20R
TP8,40.25,2.98,0.00,TPTP20R,TP20R
TP9,44.37,3.08,0.00,TPTP20R,TP20R
U1,35.10,53.66,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,15.81,52.70,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,84.50,58.45,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,131.54,53.93,0.00,MAX17048G+T10,SON50P200X200X80-9N
